$ du -s * -h | sort -n -r > /home/users/berdis/diskusage.txt

999G	aklypin
657M	gordonm
452G	yslee
397M	schonfsj
378M	andic
272G	jrvander
213G	lost+found
200G	mercy5
191G	eklimek
76M	etc
74M	laurel07
68M	degravek
59G	redmonds
32K	mcateer
24G	jasonj
24G	feuilldk
21G	markert
17G	rthamilt
17G	apogee
8.0K	mkpresco
7.1G	sten
4.0K	steakley
4.0K	root
4.0K	molenda
4.0K	lkahre
4.0K	kgrabowski
4.0K	jeem9157
4.0K	gcmathes
4.0K	finlator
4.0K	drewski
4.0K	dederiej
4.0K	athelen
4.0K	ashugart
4.0K	amedina7
2.7T	vigeesh
2.1T	karraki
1.6G	alhall
1.4T	st
1.1T	mtpatter
1.1G	jlcough
1.1G	cjvargas
0	tharriso
0	strycker
0	stockton
0	snelli
0	seryddwr
0	rwalterb
0	rosst
0	rnath
0	nnielsen
0	nmule
0	nicole
0	nchanove
0	murphy
0	msussman
0	mskirk
0	mrhayden
0	mrawls
0	mgleed
0	mchizek
0	mccleary
0	mathes
0	lcmayor
0	kuckert
0	jojohnso
0	jlevans
0	jeanm12
0	jcd
0	jbornak
0	holtz
0	hcao
0	habu911
0	gaulme
0	fwoeger
0	fdelgado
0	eramesh
0	dmbiz
0	cwc
0	chasm
0	catwu
0	candaceg
0	bmcnamar
0	amckay
